ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
P1426	PT03	SR01	04/05/2023	Portugal	INSIGNIA-EU	Yes	42	42	-6.731469444	Agricultural	High	15.19999981	57.5		
P1428	PT01	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	42	42	-8.528722222	Forest/Natural	High	16.80000114	102		
P1429	PT01	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	42	42	-8.528722222	Forest/Natural	High	16.80000114	102		
P1430	PT02	SR01	06/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-8.474833333	Forest/Natural	High	16.60000038	75.20000458		
P1431	PT02	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-8.474833333	Forest/Natural	High	16.60000038	75.20000458		
P1432	PT04	SR01	06/05/2023	Portugal	INSIGNIA-EU	Yes	40	40	-8.414416667	Artificial	High	17.89999962	55.79999924		
P1433	PT04	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	40	40	-8.414416667	Artificial	High	17.89999962	55.79999924		
P1434	PT05	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-7.672777778	Forest/Natural	Medium	15.90000057	65.80000305		
P1435	PT05	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-7.672777778	Forest/Natural	Medium	15.90000057	65.80000305		
P1436	PT07	SR01	05/05/2023	Portugal	INSIGNIA-EU	No	38	38	-7.205555556	Agricultural	High	19.80000114	22.70000076		
P1437	PT07	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	38	38	-7.205555556	Agricultural	High	19.80000114	22.70000076		
P1438	PT08	SR01	06/05/2023	Portugal	INSIGNIA-EU	No	37	37	-7.658897222	Agricultural	High	18.80000114	23.30000114		
P1439	PT08	SR02	21/05/2023	Portugal	INSIGNIA-EU	Yes	37	37	-7.658897222	Agricultural	High	18.80000114	23.30000114		
P1440	PT09	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-8.360222222	Forest/Natural	High	19.5	25.39999962		
P1441	PT09	SR02	21/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-8.360222222	Forest/Natural	High	19.5	25.39999962		
P1442	PT10	SR01	05/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.162956	Agricultural	High	19.30000114	25.20000076		
P1443	PT10	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.162956	Agricultural	High	19.30000114	25.20000076		
P1444	PT06	SR01	05/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.188013889	Artificial	Medium	19.39999962	15.10000038		
P1445	PT06	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.188013889	Artificial	Medium	19.39999962	15.10000038		
CY1446	CY01	SR01	05/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.76852778	Agricultural	High	21.20000076	12.90000057		
CY1447	CY01	SR02	20/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.76852778	Agricultural	High	21.20000076	12.90000057		
CY1448	CY02	SR01	05/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	34.05419444	Artificial	Medium	21	15.69999981		
CY1449	CY02	SR02	20/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	34.05419444	Artificial	Medium	21	15.69999981		
