ID	BK	SR	Month	Country	Project	Problems	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
P1426	PT03	SR01	04/05/2023	Portugal	INSIGNIA-EU	Yes	42	41	-6.731469444	Agricultural	High	16.39999962	19.80000114		
P1428	PT01	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	42	41	-8.528722222	Forest/Natural	High	17.89999962	39.60000229		
P1429	PT01	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	42	42	-8.528722222	Forest/Natural	High	17.89999962	39.60000229		
P1430	PT02	SR01	06/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-8.474833333	Forest/Natural	High	17.70000076	29.70000076		
P1431	PT02	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-8.474833333	Forest/Natural	High	17.70000076	29.70000076		
P1432	PT04	SR01	06/05/2023	Portugal	INSIGNIA-EU	Yes	40	40	-8.414416667	Artificial	High	19	26.89999962		
P1433	PT04	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	40	40	-8.414416667	Artificial	High	19	26.89999962		
P1434	PT05	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-7.672777778	Forest/Natural	Medium	17	26.70000076		
P1435	PT05	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	41	41	-7.672777778	Forest/Natural	Medium	17	26.70000076		
P1436	PT07	SR01	05/05/2023	Portugal	INSIGNIA-EU	No	38	38	-7.205555556	Agricultural	High	21	11.90000057		
P1437	PT07	SR02	19/05/2023	Portugal	INSIGNIA-EU	Yes	38	38	-7.205555556	Agricultural	High	21	11.90000057		
P1438	PT08	SR01	06/05/2023	Portugal	INSIGNIA-EU	No	37	37	-7.658897222	Agricultural	High	20	9.400000572		
P1439	PT08	SR02	21/05/2023	Portugal	INSIGNIA-EU	Yes	37	37	-7.658897222	Agricultural	High	20	9.400000572		
P1440	PT09	SR01	07/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-8.360222222	Forest/Natural	High	20.60000038	13.90000057		
P1441	PT09	SR02	21/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-8.360222222	Forest/Natural	High	20.60000038	13.90000057		
P1442	PT10	SR01	05/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.162956	Agricultural	High	20.39999962	15.40000057		
P1443	PT10	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.162956	Agricultural	High	20.39999962	15.40000057		
P1444	PT06	SR01	05/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.188013889	Artificial	Medium	20.5	14.19999981		
P1445	PT06	SR02	20/05/2023	Portugal	INSIGNIA-EU	Yes	39	39	-9.188013889	Artificial	Medium	20.5	14.19999981		
CY1446	CY01	SR01	05/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.76852778	Agricultural	High	21.60000038	7.599999905		
CY1447	CY01	SR02	20/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.76852778	Agricultural	High	21.60000038	7.599999905		
CY1448	CY02	SR01	05/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	34.05419444	Artificial	Medium	21.39999962	10.40000057		
CY1449	CY02	SR02	20/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	34.05419444	Artificial	Medium	21.39999962	10.40000057		
CY1450	CY03	SR01	04/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.41258333	Forest/Natural	Medium	20.30000114	10.69999981		
CY1451	CY03	SR02	20/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.41258333	Forest/Natural	Medium	20.30000114	10.69999981		
CY1452	CY04	SR01	05/05/2023	Cyprus	INSIGNIA-EU	No	35	35	33.05138889	Agricultural	High	21.60000038	11.60000038		
CY1453	CY04	SR02	21/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	33.05138889	Agricultural	High	21.60000038	11.60000038		
CY1454	CY05	SR01	06/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	32.46329722	Agricultural	High	20.5	8.800000191		
CY1455	CY05	SR02	21/05/2023	Cyprus	INSIGNIA-EU	Yes	35	35	32.46329722	Agricultural	High	20.5	8.800000191		
BG1456	BG01	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	25.05610833	Agricultural	Medium	17.39999962	39.90000153		
BG1457	BG01	SR02	20/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	25.05610833	Agricultural	Medium	17.39999962	39.90000153		
BG1458	BG02	SR01	04/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	24.81988333	Agricultural	Medium	18	40.79999924		
BG1459	BG02	SR02	20/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	24.81988333	Agricultural	Medium	18	40.79999924		
BG1460	BG03	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	No	41	41	23.11659444	Agricultural	High	18.5	24		
BG1461	BG03	SR02	21/05/2023	Bulgaria	INSIGNIA-EU	Yes	41	41	23.11659444	Agricultural	High	18.5	24		
BG1462	BG04	SR01	05/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	23.0974	Artificial	High	14.19999981	36.60000229		
BG1463	BG04	SR02	20/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	23.0974	Artificial	High	14.19999981	36.60000229		
BG1464	BG05	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	24.69730556	Forest/Natural	High	12.10000038	46.29999924		
BG1466	BG06	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	26.31063611	Agricultural	High	17.80000114	33.5		
BG1467	BG06	SR02	18/05/2023	Bulgaria	INSIGNIA-EU	Yes	42	42	26.31063611	Agricultural	High	17.80000114	33.5		
BG1468	BG07	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	25.65288333	Forest/Natural	High	15.69999981	46.5		
BG1469	BG07	SR02	20/05/2023	Bulgaria	INSIGNIA-EU	No	43	43	25.65288333	Forest/Natural	High	15.69999981	46.5		
BG1470	BG08	SR01	07/05/2023	Bulgaria	INSIGNIA-EU	Yes	43	43	23.80293889	Agricultural	Medium	17.60000038	55.20000076		
