"species","n_records","crop","countries","sites","sites2","abundance","temp.p90.kde","temp.p95.kde","temp.p99.kde","temp.max","prec.p01.kde","prec.p05.kde","prec.p10.kde","prec.min"
"Cardamine pratensis",14,FALSE,6,10,14,0.000480220140410067,14.892879930177,15.7844234489004,18.2807603790322,17.60000038,4.96457080358201,17.7553218817204,27.0264399090953,35
"Cardamine matthioli",2,FALSE,1,1,2,9.97746634363926e-05,14.327025954315,14.6922223940475,15.3760222238681,13.10000038,46.8454826271916,63.87717159812,72.9608803459624,105.5
"Malus domestica",160,TRUE,17,132,160,0.00511734643797711,15.3574921175172,15.9988515912748,17.0889916481955,23.30000114,0.152041807654791,4.30436142555273,8.88895364306971,10
"Taraxacum officinale",202,FALSE,20,129,202,0.0106452265824894,15.3477890485136,16.3863668962468,18.5919392064126,19.89999962,0.00700809613099474,3.70007980955971,7.91137776651362,10
"Prunus avium",135,TRUE,19,113,135,0.00520201854586569,14.6596542903293,15.5459867975206,18.9919442944094,19.89999962,0.0815118016884593,4.01832621279432,8.43728827856827,10
"Sambucus racemosa",27,FALSE,7,25,27,0.00118862022872567,13.7214220870232,14.6283052142314,16.1152748722344,15.60000038,10.5,3.35377527219698,7.24133538144969,10.5
"Salix helvetica",19,FALSE,4,14,19,0.000789998599559139,18.8385513744488,19.5336371852872,20.5363017164151,19.70000076,7.65634429399172,27.235381447377,42.5983220313057,18.60000038
"Salix alba",169,FALSE,24,135,169,0.0103954875898279,16.0245979806603,17.3372664687655,24.251525509825,24.5,0.68575868978648,6.51143317536848,12.5876567139526,10.69999981
"Fraxinus angustifolia",2,FALSE,1,2,2,7.43982543324731e-05,9.22426255431401,9.67797298637316,10.4963325495333,8.699999809,53.8858721717612,71.7731477800228,81.4643895056079,109.3000031
"Fagus sylvatica",34,FALSE,11,31,34,0.000833273962378174,14.9296993089806,15.4676510815006,16.4412347747457,15.40000057,2.61151007466948,12.4760594333221,20.7047076582742,14.30000019
