"species","n_records","crop","countries","sites","sites2","abundance","temp.mean","temp.sd","temp.median","temp.q05","temp.q25","temp.q75","temp.q90","temp.q95","temp.q99","temp.max","prec.mean","prec.sd","prec.median","prec.q01","prec.q05","prec.q10","prec.q25","prec.q50","prec.q75","prec.min"
"1","Cardamine pratensis",14,FALSE,6,60,10,0.000480220140410067,13.3275,1.03536003013123,13,11.6244842992381,12.6291602719138,14.0258397280862,14.654367267517,15.030515700762,15.7361076049627,17.5,73.2747960911879,3.90679357924503,7.64852927038918,3.96190127129507,5.30891625500626,6.02700495849614,7.2268996968682,8.56006986485437,9.89324003284053,5.91607978309962
"3","Malus domestica",160,TRUE,17,2508,132,0.00511734643797711,12.8813804424291,1.69315439241186,13,10.0963892990817,11.7393651592479,14.0233957256104,15.0512451047333,15.6663715857766,16.8202465636394,23.5,31.5407313376246,3.03077950185664,6.02494806948574,1.5661433331323,2.75256580687264,3.3850432375336,4.44188529270159,5.61611354386862,6.79034179503565,3.16227766016838
"4","Taraxacum officinale",202,FALSE,20,2580,129,0.0106452265824894,12.4040130763154,1.97179735177374,12,9.16069505063707,11.0740559730803,13.7339701795506,14.9309730594178,15.6473311019938,16.9910996536536,20,33.9419779528921,7.51987266991281,4.81663791041012,-0.553426571719628,1.31539327455283,2.31165421945238,3.97636257654102,5.82597442089236,7.6755862652437,3.16227766016838
"5","Prunus avium",135,TRUE,19,2373,113,0.00520201854586569,12.22139341741,1.7954201940206,12,9.26818999937331,11.0104008992481,13.432385935572,14.5223169778675,15.1745968354467,16.3981653687798,20,33.3211425215812,5.27824935903208,4.96990953237582,0.427792659327742,1.99348759150482,2.82815376634582,4.2228443479154,5.77244684008274,7.32204933225008,3.16227766016838
"6","Sambucus racemosa",27,FALSE,7,250,25,0.00118862022872567,11.19522046449,1.64657302831497,11,8.48684884682568,10.0846238339423,12.3058170950378,13.3053887067106,13.9035920821544,15.0257221283635,15.5,29.6861029051154,4.74344112249138,4.76445177958598,0.38183951388484,1.86609598548176,2.65734761833221,3.97949440378006,5.44849547169816,6.91749653961626,3.24037034920393
"7","Salix helvetica",19,FALSE,4,84,14,0.000789998599559139,12.7753292806485,3.7515739920903,12,6.60453919298196,10.2449310758814,15.3057274854156,17.5831648034682,18.946119368315,21.5027954614547,19.5,94.1783237281359,3.89805942923824,9.44986788531988,5.11152588875774,6.45703431554203,7.17431987910886,8.3728726058838,9.70455170155406,11.0362307972243,4.31277177462476
"8","Salix alba",169,FALSE,24,3240,135,0.0103954875898279,13.264804340297,2.65264421623535,13,8.90159288021046,11.4756230055294,15.0539856750647,16.6643046884463,17.6280158003836,19.4357775733228,24.5,47.0561760726092,6.61454986760705,6.67083203206317,0.87667049606462,2.62938968559425,3.56375779998861,5.12504595104253,6.85975043807056,8.59445492509859,3.27108541771688
"10","Fagus sylvatica",34,FALSE,11,310,31,0.000833273962378174,12.7713531669866,1.61691131504031,13,10.1117707259837,11.6807630580158,13.8619432759573,14.8435083941233,15.4309356079895,16.5328513672432,15.5,63.4368231166737,4.85173996218132,7.120393300935,2.8405550060203,4.34165959300422,5.14189289382482,6.47904765264254,7.96472366856966,9.45039968449677,3.78153410535989
"11","Chelidonium majus",275,FALSE,22,2457,117,0.0096243488490143,16.3778779818813,3.12036627539214,16,11.2453321963854,14.2732229122717,18.4825330514908,20.3767882671826,21.5104237673771,23.6369354328685,25.5,64.393647261668,6.04136528904429,8.01249053540783,2.30659084475686,3.98164843076942,4.87461543169815,6.36672413741514,8.02456523817135,9.68240633892756,2.70185125256739
"12","Brassica rapa/napus/oleracea",612,TRUE,26,5832,216,0.0732455699087592,15.334583920401,2.37694023649127,15.5,11.4248651513615,13.731362094059,16.937805746743,18.3807554016824,19.2443026894406,20.8641737862846,27.5,49.8483043587321,4.96672156611291,6.67083203206317,1.87580109208017,3.39458889632106,4.20424905482856,5.55715567951318,7.0603331620209,8.56351064452863,2.28035091290792
"13","Plantago lanceolata",879,FALSE,25,5568,232,0.0458930473349909,20.293335018392,2.86492566964184,20,15.5809516397352,18.3609720191449,22.2256980176391,23.9648849954904,25.0057183970487,26.9581487592483,27.5,83.9601643459005,6.96175809174093,9.25742969619538,3.02487561895467,4.82300798439861,5.78158569483163,7.38332701937752,9.16297791909925,10.942628818821,0.316227767597977
"14","Cardamine dentata",8,FALSE,4,24,6,0.000227619629800708,13.7618629173989,1.39129741437975,13.5,11.4733823191882,12.8234470719255,14.7002787628724,15.5448822969355,16.0503435156097,16.9985046994998,17.5,57.1022858187333,2.4225777687823,6.84105249504782,3.93573052982776,4.99645126303465,5.5619175609483,6.50678695145094,7.55660544283829,8.60642393422564,5.91607978309962
"15","Ranunculus sardous",162,FALSE,22,2592,108,0.00560256858826432,16.8465767116436,2.6114223846143,16.5,12.5511691308085,15.0851990797887,18.6079543434986,20.1932491569443,21.1419842924787,22.9216536243138,23.5,68.8334246345865,6.8364546519521,8.28854659032571,2.21397897145914,3.99585572776865,4.94576763312234,6.53302877733965,8.29659114543958,10.0601535135395,3.75499672170296
"18","Olea europaea",98,TRUE,11,900,60,0.00586336711542227,20.0012963973797,2.73663091772214,19.5,15.4999391067369,18.1554668933065,21.847125901453,23.5084300343043,24.5026536880225,26.3676519148571,26,38.264005551212,7.13310424542922,6.41092834853112,-0.0273894985405896,1.79273661062002,2.76303910444548,4.38437202795787,6.18579061650263,7.9872092050474,0.632455536777092
"19","Quercus pubescens",71,FALSE,13,885,59,0.0014500034537807,14.4164137931035,2.09844453715777,14,10.964779685203,13.0010344614356,15.8317931247714,17.1056786749065,17.8680479010039,19.2981257809131,24,67.8601949294256,6.32609986551534,8.43800951528262,2.38656045235201,4.10063701165472,5.01440488286348,6.541270930788,8.23772996215739,9.93418899352677,1.84390891721907
"20","Quercus robur",125,FALSE,19,2205,105,0.00421589056183786,12.8308663061008,1.97204242782076,12.5,9.58714516619764,11.5007439015839,14.1609887106177,15.3581403667949,16.074587446004,17.41852301558,24,42.2823479341178,6.10448132738875,6.35609955318511,0.754722304153739,2.43850708149719,3.33612651583141,4.83600923377939,6.50248782652592,8.16896641927245,1.84390891721907
"21","Aesculus hippocastanum",159,FALSE,21,2337,123,0.00433039632449585,13.9576443418011,1.82706539392763,13.5,10.9523892019217,12.7253074606589,15.1899812229432,16.2991228577414,16.9628994816805,18.2080340366982,20,51.0442877788338,5.63502382833877,6.78969824734502,1.62219621643405,3.23994123972358,4.10235512553694,5.54341091552132,7.14452852040173,8.74564612528215,3.36154729105512
"22","Caltha palustris",32,FALSE,10,253,23,0.00185807722766999,11.0366063738157,1.75120505056051,10.5,8.15613039486553,9.85543651672104,12.2177762309104,13.2808659479512,13.9170823527659,15.1105185201967,17,22.3486876171266,2.55113021764138,4.61519242719088,1.01173704252377,2.10023722830357,2.68051264959221,3.65012743593689,4.72743985864723,5.80475228135758,3.16227766016838
"24","Papaver rhoeas",413,FALSE,26,4008,167,0.0235766231081254,19.1821459475062,2.71061899369877,19,14.7235744644372,17.3538612195695,21.0104306754428,22.6559439624758,23.6407174305752,25.487988680832,28.5,65.6281697165199,4.9639601130137,8.24621125123532,2.91803091715064,4.43639644641994,5.24583149170263,6.59836196205885,8.1011215097985,9.60388105753815,1.4142135623731
"25","Raphanus sativus",506,TRUE,26,5346,198,0.0245392360531863,18.6983666416712,2.81605950823552,18,14.0663609458388,16.7989633674241,20.5977699159182,22.3072921131171,23.3303723375035,25.2495006918273,29.5,70.090668533953,5.84276033467316,8.62554354982919,2.74881487007451,4.39610930091769,5.27427586655695,6.74165369384187,8.37201699317153,10.0023802925012,0
"26","Rhamnus cathartica x Rhamnus saxatilis",37,FALSE,14,476,34,0.00127523028645955,15.7616881079386,2.35023820552686,16,11.8958902713778,14.1764765277915,17.3468996880857,18.7736395596342,19.6274859444993,21.2291597608555,19.5,49.2077378871007,5.9160361902018,7.37563566955418,1.35646931677504,3.01406117562626,3.8977172620333,5.37426783782883,7.01482272670526,8.65537761558169,3.75499672170296
"27","Castanea sativa",219,FALSE,19,2166,114,0.0249231177290127,20.1343289570847,2.05992982176999,19.5,16.7460459184808,18.7449274061776,21.5237305079918,22.774235245086,23.5226119956886,24.9264423186326,27.5,73.3467266875337,6.95372333742342,8.8994384418344,2.42971115131497,4.22680558046598,5.18482997090188,6.78564672199335,8.56427035348218,10.342893984971,1.0488088596117
"28","Angelica sylvestris",31,FALSE,9,294,21,0.00109216098307532,16.4794871794872,2.41691177824258,16,12.5040210750232,14.8493049579344,18.10966940104,19.5768842526772,20.4549532839513,22.1020647565461,24.5,122.204434803091,3.87533950628142,11.3004426727452,6.47499049533459,7.81657202940575,8.5317641809978,9.72681890815016,11.0546114722812,12.3824040364122,7.18331415782437
"29","Trifolium repens",731,FALSE,25,5376,224,0.0276294340342943,18.8605316114827,2.62511562911807,18.5,14.5426006477608,17.089918026563,20.6311451964024,22.2247526557145,23.1784625752045,24.9674637743929,26.5,88.9714980916412,7.11216888751255,9.85393314722604,3.22841470762773,5.04586785768986,6.0147454069106,7.63369731046632,9.4324704129746,11.2312435154829,0.316227767597977
"31","Alopecurus pratensis",46,FALSE,9,476,34,0.00112383166821099,16.1123575498576,1.97849150622194,16,12.8580286199557,14.7778853080609,17.4468297916543,18.647896437073,19.3666864797594,20.7150170591649,20,60.2036336990132,6.23516961923595,8,1.95013459526145,3.65184764862172,4.55902458056095,6.07487745795096,7.75910005728842,9.44332265662588,3.83405787775824
"32","Achillea millefolium",114,FALSE,15,1134,63,0.00374027934953903,19.0189839572191,2.41695707459563,18.5,15.0434433468844,17.3887711837404,20.6491967306977,22.1164390800212,22.9945245675537,24.6416669093526,24.5,94.4974355509816,3.71682502259909,9.85393314722604,5.23599702298447,6.54985448558952,7.25026703726968,8.42062570099238,9.72097914569215,11.0213325903919,4.25440952189608
"33","Allium ursinum",18,FALSE,8,119,17,0.000845061891328642,14.1866130558184,1.44829340461106,14,11.804382396354,13.2097539991316,15.1634721125051,16.0426757358656,16.5688437152828,17.5558473386227,17.5,91.6588843141176,7.11160588426661,8.77496438739212,3.3700545065936,5.18743571993082,6.1562749199497,7.77516274367056,9.57386464883004,11.3725665539895,4.78539440589801
"34","Ilex aquifolium",55,FALSE,10,494,38,0.00157786315320686,15.8088235294118,2.81894486464894,14.5,11.1720718446178,13.9074741118382,17.7101729469854,19.4214467338866,20.4455752142058,22.3666699223262,21,56.5358962522741,3.05691257990826,6.99285360421624,3.4516423042281,4.64316879862577,5.27836716381286,6.33975578127254,7.51903559323096,8.69831540518938,4.1352146715739
"35","Fraxinus ornus",75,FALSE,14,885,59,0.00520948160640699,15.6858250787067,1.72901782371836,16,12.8418438402998,14.5196202787023,16.852029878711,17.9016505775474,18.5298063171135,19.7081220170926,24.5,76.9421276061314,4.31734425286475,8.47938686049882,3.93792939558964,5.35395313329109,6.10883014818178,7.37019654189238,8.77166618186827,10.1731358218441,4.78539440589801
"36","Acer pseudoplatanus",233,FALSE,18,2244,132,0.00849223894727738,14.2198172311465,1.99204032363123,14,10.943202479788,12.8762064508799,15.563428011413,16.772719626524,17.4964319825049,18.8539960030296,21.5,54.7618958778041,4.8949872165332,6.84105249504782,2.25317229387744,3.76095228249382,4.56474421522385,5.90784529193124,7.40012809874289,8.89241090555454,3.59165707856415
"37","Ranunculus acris",68,FALSE,16,782,46,0.00153700781321283,15.3231389901093,3.56428569322609,15.5,9.46041074011513,12.9190648232578,17.7272131569608,19.8909549003114,21.1858672401035,23.61490743502,23.5,87.4667688438193,7.56033200807948,9.98498896243757,2.95582743097273,4.82966795957284,5.82860541164335,7.49778609486113,9.35236701823764,11.2069479416142,4.1352146715739
"38","Syringa vulgaris",74,FALSE,15,1056,66,0.00206624152456068,13.7005228505035,1.84458673170688,13,10.6664476746289,12.4563680066195,14.9446776943875,16.0644558643052,16.7345980263781,17.9916732722937,18,39.0460172609552,6.42882940310753,5.46808921104987,0.350194482850163,2.07813243984126,2.99928977086671,4.53850328214829,6.24868124174655,7.95885920134481,3.36154729105512
"39","Ranunculus bulbosus",43,FALSE,11,480,32,0.000705231533221182,14.3136698808849,2.87500091850856,15,9.58471419258725,12.3745112295465,16.2528285322232,17.9981318089417,19.0426255691825,21.0019221555227,24.5,86.1524770540365,5.5937529441925,8.94427190999916,3.77976349269894,5.39157345100614,6.2508233756388,7.68659232521657,9.28183586657491,10.8770794079333,3.83405787775824
"40","Tragopogon pratensis",10,FALSE,6,32,8,0.000208696798122987,16.4836852207294,3.33472733413561,15.5,10.9985468702822,14.2344458141562,18.7329246273025,20.7573102564552,21.9688235711765,24.2414210650016,22.5,116.42921934496,3.53380491045392,10.266450287222,6.41707142363982,7.69817274455765,8.3811231183111,9.52230324836109,10.7902372237574,12.0581711991537,7.14142842854285
"41","Trifolium incarnatum",63,FALSE,12,585,45,0.00332700062134763,16.2301911747026,2.86199636753712,16,11.5226260692372,14.2998039597004,18.1605783897048,19.8979871001028,20.937756280168,22.8881903398352,24.5,81.9930796759939,4.33357969666127,8.94427190999916,4.21218608813446,5.63086981767938,6.38716486437912,7.65090072706794,9.05500301910462,10.4591053111413,5.15751882013047
"42","Crataegus monogyna x Crataegus punctata",216,FALSE,22,3260,163,0.00933725615747849,14.5949443016276,1.84107766439881,14,11.5666410278418,13.3531562876756,15.8367323155795,16.9543802647271,17.6232475754133,18.8779314121458,24.5,48.5029756352884,2.7834598430343,6.81175465867643,3.08319780446364,4.22018264458352,4.82630505569428,5.83910902875029,6.96440777347855,8.0897065182068,3.6331803987691
"43","Cotinus coggygria",13,FALSE,6,84,12,0.000429143094859576,16.9198508853682,2.19259421250925,17,13.3133543424895,15.4409685626914,18.3987332080449,19.7297734310134,20.5263474282468,22.0205877702733,19.5,66.4956469304238,9.40631697410974,8.3306663316928,1.01964261919122,3.1097663626585,4.22400359626721,6.08584515902643,8.15448630696157,10.2231274548967,4.80624597581106
"44","Sambucus nigra",142,FALSE,22,2147,113,0.00482849619126752,17.2847141673568,2.50302377023367,18,13.1676064405422,15.5964502898371,18.9729780448766,20.4924681986952,21.4018218941715,23.1076181939136,21.5,52.8292461422425,3.64906055184078,6.99285360421624,2.82446363625702,4.12628900093833,4.82028728573742,5.97992799074039,7.26837300516715,8.55681801959391,4.03732598881983
"45","Rumex graminifolius",83,FALSE,19,828,46,0.00401618753396427,17.2112472604099,3.53552404551382,18,11.3958277109723,14.826572530139,19.5959219906807,21.7422036359587,23.0266668098474,25.4361061073112,25,74.0763111848166,4.21030282880151,8.94427190999916,3.83332119298351,5.23168076949821,5.9771410854225,7.22277258804277,8.6067596216472,9.99074665525162,4.69041575982343
"46","Helianthemum nummularium",38,FALSE,9,171,19,0.000862751079212122,16.5384972170686,2.54329606290053,15.5,12.3551474635953,14.8230700909282,18.2539243432091,19.7978622681222,20.721846970542,22.4550886060537,22,104.673224163069,3.84260751737147,10.8995414169588,5.67075360138727,7.00665747167209,7.71882288170856,8.9088200564314,10.2309933126295,11.5531665688275,5.91607978309962
"47","Reseda lutea",105,FALSE,18,816,51,0.00445165735444214,20.1883029377409,2.96465123867553,20.5,15.3118855951593,18.1886760643482,22.1879298111337,23.9876563739593,25.0647202803226,27.0851130441063,26,69.0586888670938,5.57290300236097,8.2097503938914,2.81834707346417,4.42715032783989,5.28479738973231,6.7178880259499,8.31015576671664,9.90242350748338,3.70135107899805
"48","Sinapis alba",190,FALSE,20,1620,90,0.0114711826761923,19.2405160390515,2.61573304433094,18.5,14.9380180539469,17.4762309114011,21.0048011667019,22.5927128170605,23.543014024156,25.3256210457891,28.5,76.6065990825704,6.23724063361192,8.8994384418344,2.9425894776459,4.64458511991825,5.55191269896086,7.06801730105537,8.75251958481502,10.4370218685747,0.316227767597977
