"species","n_records","crop","countries","sites","temp.mean","temp.sd","temp.median","temp.q05","temp.q25","temp.q75","temp.q90","temp.q95","temp.q99","temp.max","prec.mean","prec.sd","prec.median","prec.q01","prec.q05","prec.q10","prec.q25","prec.q50","prec.q75","prec.min"
"1","Cardamine pratensis",14,FALSE,6,60,14.8408333333333,1,15,13.1959797063819,14.1663435831373,15.5153230835294,16.1223848988779,16.4856869602848,17.1671812073742,18.5,7.89736110529176,1.21477091677476,7.2663607975382,5.07138136560616,5.89924075691963,6.34056953512102,7.07801057309089,7.89736110529176,8.71671163749263,6.12372435695795
"2","Cardamine matthioli",2,FALSE,1,1,15,1,15,13.3551463730485,14.3255102498039,15.6744897501961,16.2815515655446,16.6448536269515,17.3263478740408,15,9.24662100445346,1,9.24662100445346,6.92027313041262,7.60176737750199,7.96506943890886,8.57213125425738,9.24662100445346,9.92111075464955,9.24662100445346
"3","Malus domestica",177,TRUE,17,2527,13.236259318813,2.6812628573749,14,8.82597438304967,11.4277750039322,15.0447436336939,16.6724359313184,17.6465442545764,19.4738094668118,23.5,6.84505278609309,1.13594491510106,6.71565352664951,4.20244974782024,4.97658967247203,5.3892808017729,6.07886958407007,6.84505278609309,7.61123598811611,4.28952207361146
"4","Taraxacum officinale",217,FALSE,21,2730,12.5758200426748,2.60375159355872,12,8.29302979032903,10.8196162807627,14.3320238045868,15.9126619736892,16.8586102950205,18.6330520268806,20.5,7.20766134763674,1.26880233439401,6.93541651885451,4.25598573444118,5.12066722602426,5.58162572962745,6.35186717806312,7.20766134763674,8.06345551721036,3.84707683702834
"5","Prunus avium",142,TRUE,19,2373,12.4935284822033,2.74287489540856,12,7.98190076221641,10.6434874791801,14.3435694852266,16.0086640985072,17.0051562021902,18.874409663897,20.5,6.87147867756069,1.15272746090432,6.72309458211024,4.18983359953742,4.97541073260565,5.3941989953925,6.09397582041117,6.87147867756069,7.64898153471021,3.25576417757798
"6","Sambucus racemosa",27,FALSE,7,250,10.800740491417,2.10122926751291,10,7.34452590969184,9.38348288766755,12.2179980951665,13.4935741487663,14.2569550731422,15.6889307307681,16.5,7.08855580747523,1.39673911501819,6.53452375923449,3.83925473666298,4.79112440823257,5.29856260796629,6.14646959069751,7.08855580747523,8.03064202425294,5.46808921104987
"7","Salix helvetica",20,FALSE,4,84,14.0777945619335,3.22292877586488,14,8.77654847554592,11.9039621370007,16.2516269868664,18.2081439802819,19.3790406483211,21.5754480678518,20.5,8.34699926084205,1.82239312645343,9.15969440156166,4.10747888545048,5.3494293170637,6.01150849659794,7.11781377622142,8.34699926084205,9.57618474546268,4.37035472015716
"8","Salix alba",202,FALSE,24,3888,14.1522896335221,3.40214727584274,14.5,8.55625534742915,11.8575761673087,16.4470030997356,18.5123168010917,19.7483239196151,22.0668677158527,26.5,6.61140224920409,1.57717151489508,6.80441027863547,2.94235264853015,4.01718596260437,4.59017562515795,5.54761622810613,6.61140224920409,7.67518827030204,0
"9","Fraxinus angustifolia",2,FALSE,1,2,9.44354838709677,1,9,7.7986947601453,8.76905863690069,10.1180381372929,10.7250999526414,11.0884020140482,11.7698962611376,10.5,10.4318350560018,1,10.3053386455759,8.10548718196092,8.78698142905029,9.15028349045716,9.75734530580568,10.4318350560018,11.1063248061978,10.3053386455759
"10","Fagus sylvatica",37,FALSE,11,310,14.1848137535817,1.56091262893182,14.5,11.6173409545288,13.1319941844155,15.2376333227478,16.1852037768676,16.7522865526345,17.8160395294607,17.5,7.11335076537312,1.4299506390872,6.89927549022359,3.78678813614927,4.76129127030896,5.28079528519942,6.14886371602247,7.11335076537312,8.07783781472377,4.59347367250537
